PRISM Time Series Data
Location:  Lat: 35.8825   Lon: -106.5340   Elev: 3067m
Climate variable: ppt
Spatial resolution: 4km
Period: 2013-03-08 - 2017-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-07
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm)
2013-08-11,0.00
2013-08-12,0.45
2013-08-13,0.00
2013-08-14,0.26
2013-08-15,0.21
2013-08-16,0.44
2013-08-17,2.92
2013-08-18,7.16
2013-08-19,0.14
2013-08-20,0.97
2013-08-21,0.44
2013-08-22,0.22
2013-08-23,0.00
2013-08-24,6.87
2013-08-25,7.71
2013-08-26,0.00
2013-08-27,0.00
2013-08-28,0.00
2013-08-29,0.00
2013-08-30,0.00
2013-08-31,0.40
2013-09-01,0.26
2013-09-02,0.64
2013-09-03,14.75
2013-09-04,0.35
2013-09-05,0.00
2013-09-06,0.00
2013-09-07,0.00
2013-09-08,0.92
2013-09-09,0.92
2013-09-10,0.18
2013-09-11,44.62
2013-09-12,1.47
2013-09-13,60.31
2013-09-14,38.32
2013-09-15,6.94
2013-09-16,4.07
2013-09-17,0.00
2013-09-18,9.73
2013-09-19,7.74
2013-09-20,2.27
2013-09-21,0.30
2013-09-22,0.00
2013-09-23,28.10
2013-09-24,0.00
2013-09-25,0.01
2013-09-26,0.00
2013-09-27,0.00
2013-09-28,5.37
2013-09-29,0.00
2013-09-30,0.00
2013-10-01,3.72
2013-10-02,0.00
2013-10-03,0.00
2013-10-04,0.00
2013-10-05,0.00
2013-10-06,0.00
2013-10-07,0.00
2013-10-08,0.00
2013-10-09,0.00
2013-10-10,0.00
2013-10-11,5.79
2013-10-12,1.99
2013-10-13,0.65
2013-10-14,1.23
2013-10-15,0.00
2013-10-16,5.05
2013-10-17,0.05
2013-10-18,0.01
2013-10-19,0.00
2013-10-20,0.00
2013-10-21,0.00
2013-10-22,0.00
2013-10-23,0.00
2013-10-24,0.00
2013-10-25,3.85
2013-10-26,8.92
2013-10-27,0.00
2013-10-28,0.00
2013-10-29,0.00
2013-10-30,2.11
2013-10-31,16.78
2013-11-01,0.54
2013-11-02,0.00
2013-11-03,0.00
2013-11-04,0.87
2013-11-05,7.30
2013-11-06,7.50
2013-11-07,0.00
2013-11-08,0.00
2013-11-09,0.00
2013-11-10,0.00
2013-11-11,0.00
2013-11-12,0.00
2013-11-13,0.00
2013-11-14,0.00
2013-11-15,0.00
2013-11-16,2.77
2013-11-17,7.82
2013-11-18,0.87
2013-11-19,0.00
2013-11-20,0.00
2013-11-21,2.43
2013-11-22,14.32
2013-11-23,9.98
2013-11-24,3.63
2013-11-25,4.14
2013-11-26,4.78
2013-11-27,3.28
2013-11-28,0.00
2013-11-29,0.00
2013-11-30,0.00
2013-12-01,0.00
2013-12-02,0.00
2013-12-03,0.00
2013-12-04,0.00
2013-12-05,2.04
2013-12-06,0.79
2013-12-07,0.04
2013-12-08,4.25
2013-12-09,1.34
2013-12-10,0.00
2013-12-11,3.20
2013-12-12,0.05
2013-12-13,2.34
2013-12-14,0.00
2013-12-15,0.00
2013-12-16,0.00
2013-12-17,0.00
2013-12-18,0.00
2013-12-19,0.00
2013-12-20,0.00
2013-12-21,0.00
2013-12-22,1.12
2013-12-23,0.00
2013-12-24,0.00
2013-12-25,0.00
2013-12-26,0.00
2013-12-27,0.00
2013-12-28,0.00
2013-12-29,0.04
2013-12-30,0.00
2013-12-31,0.00
2014-01-01,0.00
2014-01-02,0.00
2014-01-03,0.00
2014-01-04,0.00
2014-01-05,0.00
2014-01-06,0.05
2014-01-07,0.00
2014-01-08,0.00
2014-01-09,0.00
2014-01-10,0.00
2014-01-11,0.00
2014-01-12,0.00
2014-01-13,0.00
2014-01-14,0.00
2014-01-15,0.00
2014-01-16,0.00
2014-01-17,0.00
2014-01-18,0.00
2014-01-19,0.00
2014-01-20,0.00
2014-01-21,0.00
2014-01-22,0.00
2014-01-23,0.00
2014-01-24,0.00
2014-01-25,0.00
2014-01-26,0.00
2014-01-27,0.00
2014-01-28,0.00
2014-01-29,0.00
2014-01-30,0.00
2014-01-31,0.00
2014-02-01,2.07
2014-02-02,0.00
2014-02-03,0.00
2014-02-04,0.83
2014-02-05,3.86
2014-02-06,2.92
2014-02-07,2.47
2014-02-08,3.44
2014-02-09,0.00
2014-02-10,0.00
2014-02-11,0.00
2014-02-12,0.00
2014-02-13,0.00
2014-02-14,0.00
2014-02-15,0.00
2014-02-16,0.00
2014-02-17,0.00
2014-02-18,0.00
2014-02-19,0.00
2014-02-20,0.00
2014-02-21,0.00
2014-02-22,0.00
2014-02-23,0.00
2014-02-24,0.00
2014-02-25,0.00
2014-02-26,0.00
2014-02-27,0.00
2014-02-28,3.19
2014-03-01,0.00
2014-03-02,15.27
2014-03-03,8.89
2014-03-04,1.59
2014-03-05,8.44
2014-03-06,1.97
2014-03-07,0.00
2014-03-08,0.07
2014-03-09,0.00
2014-03-10,0.30
2014-03-11,0.00
2014-03-12,0.00
2014-03-13,0.00
2014-03-14,0.30
2014-03-15,6.53
2014-03-16,4.61
2014-03-17,1.63
2014-03-18,0.00
2014-03-19,0.00
2014-03-20,0.00
2014-03-21,0.00
2014-03-22,0.00
2014-03-23,0.00
2014-03-24,0.00
2014-03-25,0.00
2014-03-26,0.00
2014-03-27,0.00
2014-03-28,0.00
2014-03-29,0.00
2014-03-30,0.00
2014-03-31,0.00
2014-04-01,0.00
2014-04-02,0.00
2014-04-03,0.00
2014-04-04,11.40
2014-04-05,2.71
2014-04-06,0.00
2014-04-07,0.13
2014-04-08,0.00
2014-04-09,0.00
2014-04-10,0.00
2014-04-11,0.00
2014-04-12,0.00
2014-04-13,0.00
2014-04-14,0.52
2014-04-15,0.00
2014-04-16,0.00
2014-04-17,0.00
2014-04-18,0.00
2014-04-19,2.53
2014-04-20,1.25
2014-04-21,0.00
2014-04-22,0.00
2014-04-23,0.00
2014-04-24,0.00
2014-04-25,0.00
2014-04-26,0.00
2014-04-27,7.22
2014-04-28,11.37
2014-04-29,0.61
2014-04-30,2.76
2014-05-01,0.00
2014-05-02,0.00
2014-05-03,1.63
2014-05-04,0.00
2014-05-05,0.00
2014-05-06,0.00
2014-05-07,0.00
2014-05-08,0.00
2014-05-09,0.00
2014-05-10,0.00
2014-05-11,0.00
2014-05-12,0.00
2014-05-13,0.40
2014-05-14,0.00
2014-05-15,0.00
2014-05-16,0.00
2014-05-17,0.00
2014-05-18,0.00
2014-05-19,0.00
2014-05-20,0.00
2014-05-21,0.00
2014-05-22,0.00
2014-05-23,2.39
2014-05-24,22.64
2014-05-25,4.77
2014-05-26,2.04
2014-05-27,0.30
2014-05-28,0.00
2014-05-29,0.00
2014-05-30,0.50
2014-05-31,0.00
2014-06-01,0.00
2014-06-02,0.00
2014-06-03,0.00
2014-06-04,0.00
2014-06-05,0.00
2014-06-06,0.00
2014-06-07,0.00
2014-06-08,3.40
2014-06-09,0.00
2014-06-10,0.00
2014-06-11,0.00
2014-06-12,0.00
2014-06-13,0.00
2014-06-14,3.74
2014-06-15,0.00
2014-06-16,0.00
2014-06-17,0.00
2014-06-18,0.18
2014-06-19,0.00
2014-06-20,0.00
2014-06-21,0.00
2014-06-22,0.14
2014-06-23,0.00
2014-06-24,0.00
2014-06-25,0.00
2014-06-26,0.00
2014-06-27,0.00
2014-06-28,0.00
2014-06-29,0.00
2014-06-30,0.00
2014-07-01,0.79
2014-07-02,0.00
2014-07-03,3.15
2014-07-04,1.39
2014-07-05,3.29
2014-07-06,0.00
2014-07-07,1.18
2014-07-08,2.48
2014-07-09,14.03
2014-07-10,9.80
2014-07-11,7.04
2014-07-12,1.46
2014-07-13,6.23
2014-07-14,1.64
2014-07-15,23.05
2014-07-16,16.67
2014-07-17,4.65
2014-07-18,0.00
2014-07-19,0.00
2014-07-20,5.51
2014-07-21,0.00
2014-07-22,0.00
2014-07-23,0.00
2014-07-24,0.00
2014-07-25,0.00
2014-07-26,0.00
2014-07-27,1.32
2014-07-28,10.09
2014-07-29,16.83
2014-07-30,22.12
2014-07-31,4.99
2014-08-01,6.02
2014-08-02,9.94
2014-08-03,1.26
2014-08-04,3.38
2014-08-05,10.44
2014-08-06,0.60
2014-08-07,0.00
2014-08-08,0.00
2014-08-09,2.71
2014-08-10,1.45
2014-08-11,1.23
2014-08-12,0.99
2014-08-13,1.82
2014-08-14,4.11
2014-08-15,1.57
2014-08-16,1.27
2014-08-17,0.00
2014-08-18,2.79
2014-08-19,2.39
2014-08-20,0.00
2014-08-21,0.00
2014-08-22,0.00
2014-08-23,4.83
2014-08-24,2.67
2014-08-25,0.69
2014-08-26,0.00
2014-08-27,8.80
2014-08-28,0.00
2014-08-29,1.37
2014-08-30,0.00
2014-08-31,0.00
2014-09-01,0.00
2014-09-02,0.00
2014-09-03,0.00
2014-09-04,0.00
2014-09-05,0.00
2014-09-06,0.41
2014-09-07,0.00
2014-09-08,0.00
2014-09-09,1.40
2014-09-10,0.57
2014-09-11,0.00
2014-09-12,0.00
2014-09-13,0.00
2014-09-14,0.00
2014-09-15,1.19
2014-09-16,0.77
2014-09-17,0.15
2014-09-18,0.00
2014-09-19,0.00
2014-09-20,0.00
2014-09-21,0.17
2014-09-22,0.00
2014-09-23,0.86
2014-09-24,0.00
2014-09-25,0.56
2014-09-26,2.45
2014-09-27,0.00
2014-09-28,0.00
2014-09-29,1.02
2014-09-30,6.09
2014-10-01,7.20
2014-10-02,0.00
2014-10-03,0.00
2014-10-04,0.00
2014-10-05,0.00
2014-10-06,0.00
2014-10-07,0.00
2014-10-08,0.00
2014-10-09,2.79
2014-10-10,4.28
2014-10-11,25.23
2014-10-12,0.95
2014-10-13,0.05
2014-10-14,0.10
2014-10-15,4.44
2014-10-16,1.33
2014-10-17,0.00
2014-10-18,1.87
2014-10-19,0.00
2014-10-20,0.00
2014-10-21,0.45
2014-10-22,0.70
2014-10-23,0.00
2014-10-24,0.00
2014-10-25,0.01
2014-10-26,0.00
2014-10-27,0.00
2014-10-28,0.00
2014-10-29,0.00
2014-10-30,0.00
2014-10-31,0.00
2014-11-01,0.97
2014-11-02,0.00
2014-11-03,5.42
2014-11-04,3.45
2014-11-05,0.96
2014-11-06,1.53
2014-11-07,0.00
2014-11-08,0.00
2014-11-09,0.00
2014-11-10,0.00
2014-11-11,0.00
2014-11-12,0.00
2014-11-13,0.00
2014-11-14,0.00
2014-11-15,2.25
2014-11-16,4.53
2014-11-17,10.10
2014-11-18,1.53
2014-11-19,1.22
2014-11-20,0.00
2014-11-21,0.00
2014-11-22,0.00
2014-11-23,0.07
2014-11-24,0.00
2014-11-25,0.71
2014-11-26,2.04
2014-11-27,0.00
2014-11-28,0.00
2014-11-29,0.00
2014-11-30,0.00
2014-12-01,0.00
2014-12-02,0.00
2014-12-03,0.00
2014-12-04,0.72
2014-12-05,12.42
2014-12-06,2.42
2014-12-07,0.00
2014-12-08,0.00
2014-12-09,1.76
2014-12-10,0.00
2014-12-11,0.00
2014-12-12,0.00
2014-12-13,0.00
2014-12-14,7.64
2014-12-15,9.06
2014-12-16,2.42
2014-12-17,0.84
2014-12-18,9.53
2014-12-19,1.04
2014-12-20,2.42
2014-12-21,2.42
2014-12-22,0.00
2014-12-23,1.70
2014-12-24,1.76
2014-12-25,2.42
2014-12-26,1.12
2014-12-27,1.18
2014-12-28,4.05
2014-12-29,2.42
2014-12-30,0.09
2014-12-31,0.55
2015-01-01,0.78
2015-01-02,0.08
2015-01-03,0.50
2015-01-04,0.00
2015-01-05,0.03
2015-01-06,0.00
2015-01-07,0.00
2015-01-08,0.00
2015-01-09,0.00
2015-01-10,0.00
2015-01-11,0.38
2015-01-12,0.25
2015-01-13,0.58
2015-01-14,14.84
2015-01-15,1.74
2015-01-16,2.52
2015-01-17,0.00
2015-01-18,0.00
2015-01-19,0.00
2015-01-20,0.00
2015-01-21,0.00
2015-01-22,7.52
2015-01-23,1.64
2015-01-24,2.33
2015-01-25,0.03
2015-01-26,0.03
2015-01-27,0.00
2015-01-28,0.00
2015-01-29,0.00
2015-01-30,2.03
2015-01-31,16.87
2015-02-01,13.45
2015-02-02,3.13
2015-02-03,0.00
2015-02-04,0.00
2015-02-05,0.07
2015-02-06,0.00
2015-02-07,0.00
2015-02-08,0.00
2015-02-09,0.00
2015-02-10,0.00
2015-02-11,2.32
2015-02-12,1.52
2015-02-13,0.07
2015-02-14,0.00
2015-02-15,0.00
2015-02-16,0.00
2015-02-17,0.02
2015-02-18,0.07
2015-02-19,0.00
2015-02-20,0.00
2015-02-21,0.00
2015-02-22,0.00
2015-02-23,1.31
2015-02-24,3.43
2015-02-25,4.83
2015-02-26,0.07
2015-02-27,2.76
2015-02-28,16.30
2015-03-01,27.67
2015-03-02,15.67
2015-03-03,6.47
2015-03-04,3.57
2015-03-05,1.56
2015-03-06,1.25
2015-03-07,0.41
2015-03-08,0.00
2015-03-09,0.00
2015-03-10,0.00
2015-03-11,0.00
2015-03-12,0.00
2015-03-13,0.00
2015-03-14,0.00
2015-03-15,0.00
2015-03-16,0.00
2015-03-17,0.00
2015-03-18,0.00
2015-03-19,1.53
2015-03-20,7.92
2015-03-21,2.49
2015-03-22,0.82
2015-03-23,0.00
2015-03-24,0.00
2015-03-25,0.00
2015-03-26,0.00
2015-03-27,0.00
2015-03-28,0.00
2015-03-29,0.00
2015-03-30,0.00
2015-03-31,0.00
2015-04-01,0.00
2015-04-02,0.00
2015-04-03,0.00
2015-04-04,0.00
2015-04-05,0.00
2015-04-06,0.00
2015-04-07,0.00
2015-04-08,0.00
2015-04-09,0.00
2015-04-10,0.00
2015-04-11,0.00
2015-04-12,0.00
2015-04-13,0.00
2015-04-14,0.00
2015-04-15,0.00
2015-04-16,0.00
2015-04-17,0.00
2015-04-18,3.88
2015-04-19,6.51
2015-04-20,2.13
2015-04-21,0.00
2015-04-22,1.41
2015-04-23,0.00
2015-04-24,0.00
2015-04-25,0.00
2015-04-26,0.97
2015-04-27,15.31
2015-04-28,2.83
2015-04-29,3.10
2015-04-30,0.00
2015-05-01,0.00
2015-05-02,0.77
2015-05-03,0.00
2015-05-04,1.29
2015-05-05,5.12
2015-05-06,4.84
2015-05-07,6.16
2015-05-08,0.00
2015-05-09,1.83
2015-05-10,0.60
2015-05-11,0.29
2015-05-12,0.00
2015-05-13,13.33
2015-05-14,0.04
2015-05-15,2.25
2015-05-16,12.55
2015-05-17,18.82
2015-05-18,0.00
2015-05-19,12.18
2015-05-20,7.71
2015-05-21,0.00
2015-05-22,17.93
2015-05-23,4.61
2015-05-24,0.00
2015-05-25,0.74
2015-05-26,3.55
2015-05-27,0.58
2015-05-28,0.00
2015-05-29,0.00
2015-05-30,0.00
2015-05-31,0.43
2015-06-01,2.81
2015-06-02,0.00
2015-06-03,0.00
2015-06-04,0.00
2015-06-05,0.00
2015-06-06,3.88
2015-06-07,11.93
2015-06-08,3.29
2015-06-09,0.00
2015-06-10,2.75
2015-06-11,8.02
2015-06-12,0.39
2015-06-13,0.00
2015-06-14,5.61
2015-06-15,2.49
2015-06-16,0.14
2015-06-17,0.68
2015-06-18,0.00
2015-06-19,0.00
2015-06-20,0.00
2015-06-21,0.00
2015-06-22,0.00
2015-06-23,0.00
2015-06-24,0.00
2015-06-25,0.86
2015-06-26,0.00
2015-06-27,1.37
2015-06-28,5.97
2015-06-29,3.30
2015-06-30,0.00
2015-07-01,0.00
2015-07-02,2.83
2015-07-03,8.76
2015-07-04,11.58
2015-07-05,15.40
2015-07-06,17.11
2015-07-07,16.36
2015-07-08,16.36
2015-07-09,2.51
2015-07-10,1.55
2015-07-11,3.25
2015-07-12,1.85
2015-07-13,6.32
2015-07-14,8.13
2015-07-15,5.04
2015-07-16,2.80
2015-07-17,0.00
2015-07-18,0.00
2015-07-19,5.19
2015-07-20,1.64
2015-07-21,18.27
2015-07-22,0.00
2015-07-23,0.00
2015-07-24,0.00
2015-07-25,0.00
2015-07-26,0.00
2015-07-27,8.64
2015-07-28,0.00
2015-07-29,0.00
2015-07-30,14.30
2015-07-31,1.45
2015-08-01,17.70
2015-08-02,10.84
2015-08-03,20.33
2015-08-04,0.36
2015-08-05,0.00
2015-08-06,0.00
2015-08-07,0.00
2015-08-08,1.89
2015-08-09,2.47
2015-08-10,0.00
2015-08-11,3.19
2015-08-12,0.20
2015-08-13,0.66
2015-08-14,0.00
2015-08-15,0.00
2015-08-16,1.69
2015-08-17,0.82
2015-08-18,0.30
2015-08-19,0.00
2015-08-20,0.00
2015-08-21,0.00
2015-08-22,0.75
2015-08-23,0.00
2015-08-24,0.69
2015-08-25,3.03
2015-08-26,0.00
2015-08-27,3.05
2015-08-28,2.72
2015-08-29,9.20
2015-08-30,0.00
2015-08-31,5.57
2015-09-01,1.34
2015-09-02,6.32
2015-09-03,3.73
2015-09-04,0.00
2015-09-05,4.01
2015-09-06,0.01
2015-09-07,0.20
2015-09-08,0.00
2015-09-09,0.00
2015-09-10,0.00
2015-09-11,0.00
2015-09-12,0.00
2015-09-13,0.00
2015-09-14,0.00
2015-09-15,0.00
2015-09-16,2.62
2015-09-17,0.00
2015-09-18,0.00
2015-09-19,0.00
2015-09-20,0.00
2015-09-21,0.00
2015-09-22,2.90
2015-09-23,3.17
2015-09-24,0.40
2015-09-25,0.00
2015-09-26,0.00
2015-09-27,0.00
2015-09-28,0.00
2015-09-29,0.00
2015-09-30,0.00
2015-10-01,0.00
2015-10-02,0.00
2015-10-03,0.00
2015-10-04,1.39
2015-10-05,0.00
2015-10-06,2.45
2015-10-07,6.85
2015-10-08,5.62
2015-10-09,1.87
2015-10-10,0.00
2015-10-11,0.00
2015-10-12,0.00
2015-10-13,0.00
2015-10-14,0.00
2015-10-15,0.00
2015-10-16,0.00
2015-10-17,0.00
2015-10-18,0.39
2015-10-19,1.00
2015-10-20,1.70
2015-10-21,15.96
2015-10-22,26.26
2015-10-23,2.01
2015-10-24,0.84
2015-10-25,0.36
2015-10-26,0.00
2015-10-27,0.00
2015-10-28,0.00
2015-10-29,0.00
2015-10-30,5.09
2015-10-31,7.84
2015-11-01,1.04
2015-11-02,0.00
2015-11-03,0.00
2015-11-04,0.00
2015-11-05,6.85
2015-11-06,10.84
2015-11-07,1.04
2015-11-08,0.00
2015-11-09,2.42
2015-11-10,0.44
2015-11-11,0.00
2015-11-12,1.91
2015-11-13,1.04
2015-11-14,0.00
2015-11-15,0.00
2015-11-16,7.56
2015-11-17,22.40
2015-11-18,5.31
2015-11-19,1.04
2015-11-20,1.21
2015-11-21,0.00
2015-11-22,0.00
2015-11-23,0.00
2015-11-24,0.00
2015-11-25,0.00
2015-11-26,0.00
2015-11-27,2.27
2015-11-28,1.87
2015-11-29,0.00
2015-11-30,0.00
2015-12-01,0.04
2015-12-02,1.32
2015-12-03,0.00
2015-12-04,0.00
2015-12-05,0.00
2015-12-06,0.00
2015-12-07,0.00
2015-12-08,0.00
2015-12-09,0.00
2015-12-10,0.00
2015-12-11,0.03
2015-12-12,0.06
2015-12-13,6.88
2015-12-14,0.54
2015-12-15,8.37
2015-12-16,9.28
2015-12-17,1.65
2015-12-18,1.15
2015-12-19,0.00
2015-12-20,0.00
2015-12-21,1.61
2015-12-22,0.00
2015-12-23,25.65
2015-12-24,21.46
2015-12-25,3.92
2015-12-26,6.11
2015-12-27,2.02
2015-12-28,5.08
2015-12-29,0.00
2015-12-30,0.99
2015-12-31,0.00
2016-01-01,1.52
2016-01-02,0.89
2016-01-03,0.00
2016-01-04,0.00
2016-01-05,0.97
2016-01-06,1.60
2016-01-07,14.40
2016-01-08,8.28
2016-01-09,8.96
2016-01-10,6.89
2016-01-11,1.00
2016-01-12,0.00
2016-01-13,0.00
2016-01-14,0.17
2016-01-15,0.00
2016-01-16,0.00
2016-01-17,0.00
2016-01-18,0.00
2016-01-19,0.00
2016-01-20,0.00
2016-01-21,1.70
2016-01-22,2.12
2016-01-23,0.86
2016-01-24,0.00
2016-01-25,0.52
2016-01-26,0.00
2016-01-27,0.26
2016-01-28,0.00
2016-01-29,0.00
2016-01-30,0.00
2016-01-31,0.00
2016-02-01,10.85
2016-02-02,17.05
2016-02-03,7.20
2016-02-04,6.74
2016-02-05,0.00
2016-02-06,1.33
2016-02-07,0.00
2016-02-08,0.00
2016-02-09,0.00
2016-02-10,0.00
2016-02-11,0.00
2016-02-12,0.00
2016-02-13,0.00
2016-02-14,0.00
2016-02-15,0.00
2016-02-16,0.00
2016-02-17,0.00
2016-02-18,0.00
2016-02-19,0.00
2016-02-20,0.00
2016-02-21,0.00
2016-02-22,0.00
2016-02-23,2.49
2016-02-24,2.69
2016-02-25,0.00
2016-02-26,0.00
2016-02-27,0.00
2016-02-28,0.00
2016-02-29,0.00
2016-03-01,0.00
2016-03-02,0.00
2016-03-03,0.00
2016-03-04,0.00
2016-03-05,0.00
2016-03-06,0.00
2016-03-07,0.00
2016-03-08,0.00
2016-03-09,0.00
2016-03-10,0.00
2016-03-11,0.00
2016-03-12,0.00
2016-03-13,1.59
2016-03-14,0.00
2016-03-15,0.00
2016-03-16,0.00
2016-03-17,0.00
2016-03-18,0.00
2016-03-19,0.00
2016-03-20,0.00
2016-03-21,0.00
2016-03-22,0.00
2016-03-23,0.00
2016-03-24,0.27
2016-03-25,0.00
2016-03-26,0.00
2016-03-27,0.00
2016-03-28,0.00
2016-03-29,0.00
2016-03-30,0.00
2016-03-31,0.00
2016-04-01,2.20
2016-04-02,0.00
2016-04-03,0.00
2016-04-04,0.00
2016-04-05,0.00
2016-04-06,0.00
2016-04-07,0.00
2016-04-08,0.00
2016-04-09,4.37
2016-04-10,1.82
2016-04-11,2.01
2016-04-12,0.00
2016-04-13,4.18
2016-04-14,0.00
2016-04-15,0.61
2016-04-16,10.17
2016-04-17,16.76
2016-04-18,13.31
2016-04-19,23.71
2016-04-20,0.00
2016-04-21,0.00
2016-04-22,0.00
2016-04-23,0.00
2016-04-24,0.00
2016-04-25,0.00
2016-04-26,0.00
2016-04-27,0.00
2016-04-28,0.00
2016-04-29,3.44
2016-04-30,5.51
2016-05-01,3.66
2016-05-02,11.73
2016-05-03,0.09
2016-05-04,0.00
2016-05-05,0.00
2016-05-06,0.00
2016-05-07,0.00
2016-05-08,2.20
2016-05-09,0.28
2016-05-10,0.00
2016-05-11,0.00
2016-05-12,0.00
2016-05-13,0.00
2016-05-14,0.00
2016-05-15,0.00
2016-05-16,1.87
2016-05-17,1.91
2016-05-18,3.59
2016-05-19,2.37
2016-05-20,0.50
2016-05-21,0.00
2016-05-22,0.00
2016-05-23,0.00
2016-05-24,0.00
2016-05-25,0.00
2016-05-26,0.00
2016-05-27,0.00
2016-05-28,0.00
2016-05-29,0.00
2016-05-30,0.00
2016-05-31,5.67
2016-06-01,0.00
2016-06-02,2.79
2016-06-03,0.00
2016-06-04,0.00
2016-06-05,5.14
2016-06-06,0.94
2016-06-07,1.41
2016-06-08,3.52
2016-06-09,0.00
2016-06-10,0.00
2016-06-11,0.01
2016-06-12,0.00
2016-06-13,0.00
2016-06-14,0.00
2016-06-15,0.00
2016-06-16,0.00
2016-06-17,0.00
2016-06-18,0.00
2016-06-19,0.00
2016-06-20,0.00
2016-06-21,0.00
2016-06-22,0.00
2016-06-23,2.90
2016-06-24,6.72
2016-06-25,0.00
2016-06-26,0.00
2016-06-27,3.63
2016-06-28,1.15
2016-06-29,1.07
2016-06-30,3.46
2016-07-01,0.45
2016-07-02,1.71
2016-07-03,0.19
2016-07-04,0.00
2016-07-05,0.00
2016-07-06,0.00
2016-07-07,0.00
2016-07-08,0.00
2016-07-09,0.00
2016-07-10,0.00
2016-07-11,0.00
2016-07-12,0.00
2016-07-13,0.00
2016-07-14,0.00
2016-07-15,0.00
2016-07-16,0.00
2016-07-17,0.00
2016-07-18,0.72
2016-07-19,2.14
2016-07-20,1.59
2016-07-21,0.00
2016-07-22,0.00
2016-07-23,0.00
2016-07-24,1.78
2016-07-25,3.19
